act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven,act_finger_lt0,act_finger_rg0,act_finger_md0,act_finger_if0,act_finger_if1,act_finger_if2,act_finger_tb0,act_finger_tb1,act_finger_tb2
6.228041217384832073e-01,5.279243746900260659e-01,4.947808391563993102e-01,4.575374624359574427e-01,5.386291044712032683e-01,4.538879901680965001e-01,5.179796389176292148e-01,1.664953639528060289e-02,2.029876741829800962e-02,2.269537088032471533e-02,5.988709201984176174e-09,3.172063245290415723e-02,7.735359459986498972e-08,5.000000018595940343e-01,1.706191651490792651e-03,1.308087904717914474e-01
6.239662419682679984e-01,5.283604875786346300e-01,4.957793168346152357e-01,4.448200271353504043e-01,5.387103411092771799e-01,4.542592543909576008e-01,5.200582392406593035e-01,1.645497477761142732e-02,2.032181445160416086e-02,2.264624409812190237e-02,5.972779722026854427e-09,3.135076397041328122e-02,7.827254561238648332e-08,5.000000018484406228e-01,1.519224600032738348e-03,1.292314231017534509e-01
6.251233566322884627e-01,5.291575284311318406e-01,4.970494184843338714e-01,4.327209317074139916e-01,5.388209806684446379e-01,4.530051294917862847e-01,5.204927366749216855e-01,1.606127943381309084e-02,2.032757622318639643e-02,2.263396191115018760e-02,6.212738885677237262e-09,3.108576794263875898e-02,7.904867362273850400e-08,5.000000018746659780e-01,1.472481544042028969e-03,1.281469635112088279e-01
6.270704628477192788e-01,5.296427027712135027e-01,4.973107098192312558e-01,4.209206108546872938e-01,5.392246181106067349e-01,4.527131041043028215e-01,5.219691750915846917e-01,1.587659081313532589e-02,2.041528004849317221e-02,2.254462823691788173e-02,6.250729829401490418e-09,3.101951891992396626e-02,7.999659442666520731e-08,5.000000018738405272e-01,1.230759719911281302e-03,1.275307907090194870e-01
6.292060794701133108e-01,5.305097952691708585e-01,4.973717308634064138e-01,4.072711605930702250e-01,5.383080835167267653e-01,4.521765552397107868e-01,5.229242877467138451e-01,1.583041886184668318e-02,2.043720620191157369e-02,2.252229462253167724e-02,6.031987471840904176e-09,3.100295682730039304e-02,8.084654026310703658e-08,5.000000018550230241e-01,1.170329235557841362e-03,1.273767456794550057e-01
6.311681332364070807e-01,5.312131818710397191e-01,4.977769438762408849e-01,3.957481550696734240e-01,5.395518212252419232e-01,4.516159535561144467e-01,5.236328171794359942e-01,1.581887618566889947e-02,2.044268806634938138e-02,2.251671112642457048e-02,5.992002567564424238e-09,3.099881640182991505e-02,8.154708135642818022e-08,5.000000018373839117e-01,1.155221513938194415e-03,1.273382295798419217e-01
6.326768085027697497e-01,5.312885301183137843e-01,4.986736762731195372e-01,3.865491320878577941e-01,5.403372165212724232e-01,4.510952575946793885e-01,5.242485169006299017e-01,1.581599048253649886e-02,2.044405879672082232e-02,2.251531515819759494e-02,5.960219990993874957e-09,3.099778132075661774e-02,8.202780107592274388e-08,5.000000018427684934e-01,1.151444568791445532e-03,1.273285957644935129e-01
6.334074107302526402e-01,5.312839743698526407e-01,4.994923204170989006e-01,3.775197283601702813e-01,5.394941021634985789e-01,4.506383500937797271e-01,5.248267119202183473e-01,1.581526860768583953e-02,2.044440136899330213e-02,2.251496564037142392e-02,5.952437771680462459e-09,3.099752244411249635e-02,8.227597106419377069e-08,5.000000018506842725e-01,1.150500397541030740e-03,1.273261825668035585e-01
6.340198127469812706e-01,5.313149355396244999e-01,5.005508215807605854e-01,3.667923610243475352e-01,5.385258597585439455e-01,4.502185985953955361e-01,5.253409841449939721e-01,1.581508818304114619e-02,2.044448714052187963e-02,2.251487804495952080e-02,6.085120969442624768e-09,3.099745769834463816e-02,8.261565045349252396e-08,5.000000018640655686e-01,1.150264347131540977e-03,1.273255767504213043e-01
6.350404757713529191e-01,5.312065899592574025e-01,5.015085874980524938e-01,3.555320057880385631e-01,5.411002773878138550e-01,4.533854942525836207e-01,5.306686430671538890e-01,1.385255688051227271e-02,2.035824732819001975e-02,2.139343912070692383e-02,6.273386372709620913e-09,2.961723120232254147e-02,8.296423525527710196e-08,5.000000018722415840e-01,1.380240249477081597e-03,1.186991739952468067e-01
6.362962539870862244e-01,5.315006568183975322e-01,5.017786817338580896e-01,3.423544441543845962e-01,5.463899022082855383e-01,4.469557938039800393e-01,5.346778257921366295e-01,1.241303211562837586e-02,2.016416719217784329e-02,2.050924117983366282e-02,6.437845041614974901e-09,2.858207288551187220e-02,8.355091742876915806e-08,5.000000018935810697e-01,9.776754865938989698e-04,1.137821547212369416e-01
6.370718734856629650e-01,5.319175324634227708e-01,5.020883851100084172e-01,3.348999435465252472e-01,5.481841912107685566e-01,4.416346707123172122e-01,5.428310497041104465e-01,1.170806468191764975e-02,2.002937975473867774e-02,2.020190623598734636e-02,5.912202401089627086e-09,2.849578536980726384e-02,8.427337856691197600e-08,5.000000018819393821e-01,2.444230836894218349e-04,1.094473181077059987e-01
6.376088644968515018e-01,5.316459439353978800e-01,5.024751413601643568e-01,3.310580338045571724e-01,5.487071978284644436e-01,4.366246852447872584e-01,5.534875294592888073e-01,1.135930319142398198e-02,2.008194394068993360e-02,2.003881312935188591e-02,5.449035118784405780e-09,2.881927224120538200e-02,8.425664285268229608e-08,5.000000018277268587e-01,6.110208175400429480e-05,1.097437911374665870e-01
6.380367101723355416e-01,5.316048943343449906e-01,5.024982926859222765e-01,3.251654034829551954e-01,5.473407196976337596e-01,4.317329379098555631e-01,5.562465159147361726e-01,1.127211437842653464e-02,2.009508547409992810e-02,1.999803980983419147e-02,5.185279878913417191e-09,2.890014764261114935e-02,8.396224989967780284e-08,5.000000018068314622e-01,1.527559291461864940e-05,1.098179283283581137e-01
6.385356537881230476e-01,5.312975622659936725e-01,5.030413686518321326e-01,3.168163930771890069e-01,5.454026948937055197e-01,4.269409463432118912e-01,5.630785287246728998e-01,1.099152725043151327e-02,2.001210945925820800e-02,1.981532026651967524e-02,5.968735845681959757e-09,2.840278823799289101e-02,8.417452507513630422e-08,5.000000018518168110e-01,3.820735556588412108e-06,1.088012994633670294e-01
6.391759882923159219e-01,5.308590515832274370e-01,5.038357447357497687e-01,3.112827658851489154e-01,5.440113413178371271e-01,4.222817860808728008e-01,5.640695085738903769e-01,1.074885241297075626e-02,1.999136456690163086e-02,1.968337623837823278e-02,5.831293787947044178e-09,2.793339256329028034e-02,8.421667986468099045e-08,5.000000018407114721e-01,9.569908178422407996e-07,1.075119763540023921e-01
6.400974571862660945e-01,5.308610155363745475e-01,5.040812334746734846e-01,3.030238867347352927e-01,5.416077927013547288e-01,4.178574977751015607e-01,5.645517188234216999e-01,1.060191775942497319e-02,1.998617735014823413e-02,1.973664997589089087e-02,5.989528990665559389e-09,2.764351343532387220e-02,8.418665131475503708e-08,5.000000018579305872e-01,2.411853796801150172e-07,1.058094261026872734e-01
6.411293157535188358e-01,5.310388068946259033e-01,5.035359266458779848e-01,2.937722311245618001e-01,5.385658480897146383e-01,4.136403505707569872e-01,5.648040874780200227e-01,1.047892037403913047e-02,1.998488044021835830e-02,1.974996932763217403e-02,6.041088636107571359e-09,2.722598933997663964e-02,8.461810102449511371e-08,5.000000018568254712e-01,6.224082432641150955e-08,1.046936660639197353e-01
6.425165741553419130e-01,5.309529409929442112e-01,5.029095618859893424e-01,2.823847933451975045e-01,5.374576001770309253e-01,4.089846477178950002e-01,5.651835886117464458e-01,1.044817217224722032e-02,2.007081831064035093e-02,1.975329963031775132e-02,5.986496749540703162e-09,2.694908019693984316e-02,8.531418067992356075e-08,5.000000018347324771e-01,1.744923473301459472e-08,1.037246169125414508e-01
6.440657089171474281e-01,5.308410805660827014e-01,5.025395917491035647e-01,2.715851598701890524e-01,5.372402543656175089e-01,4.042149847213798997e-01,5.647077531609951961e-01,1.044048469554155131e-02,2.009230248107922792e-02,1.975413173586417284e-02,6.073715870355255459e-09,2.670732548750274007e-02,8.543843787467227833e-08,5.000000018584614958e-01,6.469066872266651265e-09,1.027922495276464426e-01
6.454726348506966138e-01,5.307399822215755902e-01,5.025553301868335154e-01,2.628716547981194696e-01,5.374463070154217315e-01,4.021118404478717379e-01,5.648137983702835596e-01,1.043856238889674312e-02,2.009767317563704650e-02,1.975433938738300338e-02,6.056424812880533421e-09,2.664688634764231581e-02,8.559560311310929583e-08,5.000000018695792692e-01,3.865416249832192889e-09,1.018690568622660497e-01
6.463445365267409537e-01,5.307509804867781567e-01,5.026025171231536248e-01,2.551264564493623266e-01,5.375119907337120306e-01,4.009830242562398839e-01,5.651633748083844111e-01,1.052434584869426336e-02,2.001275431746766739e-02,1.975439142633513348e-02,5.943966325913362665e-09,2.645924942380959224e-02,8.593567221894344264e-08,5.000000018557885229e-01,3.126814775256663962e-09,1.012932028752346475e-01
6.465180869491850002e-01,5.310203861687907700e-01,5.027509778433710830e-01,2.509362854606584925e-01,5.377355158647508793e-01,3.968917516486765162e-01,5.653450915705648949e-01,1.045952832207787224e-02,1.999152451849486173e-02,1.958187980376708756e-02,6.018401006554751360e-09,2.589475806963823304e-02,8.614258805339127280e-08,5.000000018598907969e-01,2.854166501556523129e-09,9.942397086203937084e-02
6.467352055546278233e-01,5.312648082111525172e-01,5.025303100440343673e-01,2.472629033392811926e-01,5.377517181696496174e-01,3.944589512790256380e-01,5.654049331662583944e-01,1.052958715314677822e-02,1.989995491440265524e-02,1.945248794759529831e-02,6.003449411037519452e-09,2.558110723090753838e-02,8.623724825840814578e-08,5.000000018631173271e-01,2.751915849402420392e-09,9.757644428420422789e-02
6.473970945048589387e-01,5.313251913210103039e-01,5.019867358710594640e-01,2.434939924300055514e-01,5.391171003689244623e-01,3.898148252439048722e-01,5.655987683588393766e-01,1.054710212561823547e-02,1.987706252870956314e-02,1.933387684905025009e-02,5.980887014641877171e-09,2.533016806947327795e-02,8.650129380171012559e-08,5.000000018576847838e-01,2.685992281639041808e-09,9.711455906437299612e-02
6.475330834322206019e-01,5.314644906904653077e-01,5.013809214251390145e-01,2.395324472716982012e-01,5.394216530098134843e-01,3.866021177609320070e-01,5.662403647785869687e-01,1.055148077527575876e-02,1.987133900035790990e-02,1.913169655708424691e-02,5.818989852298938343e-09,2.543995933016793623e-02,8.662836480894864868e-08,5.000000018537278379e-01,2.693369196108515086e-09,9.596392411921750298e-02
6.476018761788694400e-01,5.311799591678225685e-01,5.012211953647447427e-01,2.355514700457444488e-01,5.392678016853259537e-01,3.845572016674569937e-01,5.672692601355188158e-01,1.055257558079595974e-02,1.986990793921556211e-02,1.908115137511669918e-02,5.907257023648736789e-09,2.598498929550658101e-02,8.673582533561208627e-08,5.000000018617650754e-01,2.683723179647821251e-09,9.567626055128777840e-02
6.480431908928308005e-01,5.304990712312607215e-01,5.021942615624233053e-01,2.323481088772325343e-01,5.387984435906337799e-01,3.847003941968570873e-01,5.688817989505490225e-01,1.055284905221027386e-02,1.995581122547870553e-02,1.924103782544101665e-02,6.015692950553085678e-09,2.629377395051226210e-02,8.667656731468749032e-08,5.000000018705628158e-01,2.649275914277487386e-09,9.629443569567627814e-02
6.486242456493593878e-01,5.295428336489175214e-01,5.026729816611026358e-01,2.295700359665109602e-01,5.389677838124428133e-01,3.844132891133108521e-01,5.697600016105729415e-01,1.055291720274605625e-02,2.014981070569712637e-02,1.928100941893085701e-02,5.972100265535783832e-09,2.637097088482624752e-02,8.660954759159100170e-08,5.000000018558442560e-01,2.625393813671125562e-09,9.575888181559803758e-02
6.494345971302249998e-01,5.288369685317869662e-01,5.028059014728487597e-01,2.265679946641338816e-01,5.394418467551996832e-01,3.840474095756570283e-01,5.702919296021820017e-01,1.055293432720256878e-02,2.019831118675518775e-02,1.911847909472870477e-02,5.899869155553671147e-09,2.621774317545259858e-02,8.678416745517683313e-08,5.000000018515730060e-01,2.627363984654622090e-09,9.562498877111301476e-02
6.507963969381765912e-01,5.282720377563678849e-01,5.027963156043490089e-01,2.213094766729848395e-01,5.400977463291297687e-01,3.828446822806430561e-01,5.700718923151387729e-01,1.063920225241325561e-02,2.021043662609734587e-02,1.907784622694220361e-02,5.826018008134025434e-09,2.617943594131048879e-02,8.698965987928788966e-08,5.000000018443397920e-01,2.627112721991325405e-09,9.559151222988157559e-02
6.516366898065153457e-01,5.279427435658035073e-01,5.025182285889991940e-01,2.168840219176060569e-01,5.405473218865435303e-01,3.821951415540097430e-01,5.702990108092912402e-01,1.057450591535326334e-02,2.021346833627097120e-02,1.906768792972189999e-02,5.736041093326304248e-09,2.616985918684948398e-02,8.719846759214132875e-08,5.000000018323000894e-01,2.647491815230169462e-09,9.558313762821901705e-02
6.520126311551113218e-01,5.279824456693307244e-01,5.021542187342181718e-01,2.140909531540843569e-01,5.406093490147284575e-01,3.816694066356307036e-01,5.705068665669453809e-01,1.055833174754964437e-02,2.021422655736892712e-02,1.906514824500381636e-02,5.773757589918870066e-09,2.582241020565227696e-02,8.743063523837809673e-08,5.000000018385436507e-01,2.673192061545696601e-09,9.558104034011878636e-02
6.525111422493572455e-01,5.280577024464043756e-01,5.017086252457622075e-01,2.102686936879590296e-01,5.401551885608956161e-01,3.814319195521899131e-01,5.709170496512175896e-01,1.055428843916679169e-02,2.021441643399724333e-02,1.906451324535495331e-02,5.784561392216102389e-09,2.573554790323744068e-02,8.763805764991659009e-08,5.000000018367124488e-01,2.656737123801584847e-09,9.558051328710917560e-02
6.530080665539675921e-01,5.283033427613281763e-01,5.008628584231092917e-01,2.066967820555894175e-01,5.397420169797164657e-01,3.808657221522290248e-01,5.707867678537993372e-01,1.063954130233823320e-02,2.030072651506157136e-02,1.906435429389107331e-02,5.809852272717063455e-09,2.571383233747097374e-02,8.783041222794060139e-08,5.000000018332030338e-01,2.647038394878494175e-09,9.558037696133908634e-02
6.536597412581848232e-01,5.286856588090881326e-01,5.002033172797880622e-01,2.043988145600939277e-01,5.392246008240895172e-01,3.805204960099464184e-01,5.707423538359167603e-01,1.066085471493409889e-02,2.032230428201045255e-02,1.906431449160552252e-02,5.799405518144550582e-09,2.570840348667451092e-02,8.799940526301247121e-08,5.000000018310926109e-01,2.608280986530655286e-09,9.558034002686940922e-02
