act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven
5.435481633563066239e-01,4.814355554873147591e-01,4.316315953712289710e-01,9.031259487299599931e-01,4.751713045815335046e-01,4.121621500913292269e-01,4.490868084177450092e-01
5.436127104733541326e-01,4.817381383407300932e-01,4.316112301915626670e-01,9.000991960789694879e-01,4.740433174348956391e-01,4.120812151139038315e-01,4.491353279735925130e-01
5.437288243263117549e-01,4.823347626966306700e-01,4.316813574715818724e-01,8.950722321052793085e-01,4.741370307332205547e-01,4.055954863887853423e-01,4.440506690020584735e-01
5.438999503383935563e-01,4.827961640300711399e-01,4.314655342301525476e-01,8.904750876320737252e-01,4.745526658649934504e-01,4.029755813056227765e-01,4.432045272251616264e-01
5.440081539533310195e-01,4.830495969650019927e-01,4.314418779872017384e-01,8.868513261566223216e-01,4.753584745816696877e-01,4.019847179592700992e-01,4.438838210821137165e-01
5.438935957857308212e-01,4.836653409456542208e-01,4.309101583770715838e-01,8.815593946937313463e-01,4.764067850099646950e-01,4.012534845268014294e-01,4.447410937917515850e-01
5.438426460581926580e-01,4.841153612011315777e-01,4.305917573919942898e-01,8.790076515934217571e-01,4.776652950338366455e-01,4.007543468165969958e-01,4.456047508949471103e-01
5.438922519261988331e-01,4.842449775103552789e-01,4.305238354595449235e-01,8.785128567014348633e-01,4.781498780348648059e-01,4.001364543692155773e-01,4.460947788921315604e-01
5.439327084389531386e-01,4.843402474641496092e-01,4.304109095091727122e-01,8.784143762427639723e-01,4.781865460871180806e-01,3.996975249794216256e-01,4.466140335787167626e-01
5.440256200569415501e-01,4.844405281361054416e-01,4.302613477262202113e-01,8.786512292100946420e-01,4.783110436760825146e-01,3.990459944659770497e-01,4.467757197006843040e-01
5.441980601362345071e-01,4.843967040030223714e-01,4.298883144866607053e-01,8.794094511117807045e-01,4.781743865305504992e-01,3.986684667054580800e-01,4.471592981040629633e-01
5.443870960028162065e-01,4.841713484874824447e-01,4.296110077442208963e-01,8.808925080785651174e-01,4.779172298854674206e-01,3.984226597430097216e-01,4.475340950459361644e-01
5.447454099370941938e-01,4.838124047344321554e-01,4.290202419536821021e-01,8.830406457502726347e-01,4.778331458465119863e-01,3.983928355914248542e-01,4.478980865259855060e-01
