arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z
5.683813311159445769e-01,5.039707855870061426e-01,4.937931750854141488e-01,7.324128513870106216e-01,4.995918614112471179e-01,4.685659453667844754e-01,5.277169026198261781e-01,8.001620753903438965e-01,8.096929821291092289e-01,5.050227878322051389e-02,7.760636444553212776e-01,8.029057721361583244e-01,2.274888950232382967e-01
5.604194514434636121e-01,5.037146841025164079e-01,4.924111467827744781e-01,7.642572653419493767e-01,5.018341244194878259e-01,4.706405386928185219e-01,5.277326088863236730e-01,8.001620753903438965e-01,8.096931461538252606e-01,5.050227878322051389e-02,7.617637139920132583e-01,7.968928086674943456e-01,2.247499514457162173e-01
5.524576030104451085e-01,5.037556301173856665e-01,4.900984008277179949e-01,7.961015711601198142e-01,5.028856911055221701e-01,4.718249776509622628e-01,5.256479207510380558e-01,8.001620753903438965e-01,8.096932510967949082e-01,5.050227878322050695e-02,7.469498197536359463e-01,7.915477350179321858e-01,2.186379769600954592e-01
5.444957880724976551e-01,5.044879288088871538e-01,4.862626118837929945e-01,8.279455419900794144e-01,5.046087415008794208e-01,4.699014165243438068e-01,5.217383208267007966e-01,8.001620753903438965e-01,8.096933182392789252e-01,5.050227878322050695e-02,7.312904005548994668e-01,7.873833053841656771e-01,2.065380274066941357e-01
5.365340038181394267e-01,5.072791767889806014e-01,4.832076672175343313e-01,8.597896375246725231e-01,5.081422092045001504e-01,4.668487423306323936e-01,5.182395154813306259e-01,8.001620753903438965e-01,8.096933611970222877e-01,5.050227878322050695e-02,7.151932172330166537e-01,7.849157261883775716e-01,1.913868318146001446e-01
5.323181764100649582e-01,5.101502270762049429e-01,4.825444584605915743e-01,8.916349621570404116e-01,5.126008322275122930e-01,4.647097790418707186e-01,5.164769068603113356e-01,8.001620753903438965e-01,8.096933886813750814e-01,5.050227878322051389e-02,7.064161667824995217e-01,7.952268285490341482e-01,1.833358543608820113e-01
5.338323141107220726e-01,5.123367662964531943e-01,4.822451788735008793e-01,9.199329971058249900e-01,5.153774319131410042e-01,4.630250745208780438e-01,5.158774837966421112e-01,8.001620753903438965e-01,8.096934062658567299e-01,5.050227878322052083e-02,7.073942786374166625e-01,8.206917114840690530e-01,1.787282360651481494e-01
5.355847834093364623e-01,5.133230608951742102e-01,4.819743743130078251e-01,9.160215260824283723e-01,5.178488960436180566e-01,4.605800978765199893e-01,5.145116903048276846e-01,8.001620753903438965e-01,8.096934175164033354e-01,5.050227878322052083e-02,7.098495685968136959e-01,8.241855954288838104e-01,1.758068529574763617e-01
5.384473312818283119e-01,5.140681177221965159e-01,4.828022414380433447e-01,9.028904678160154518e-01,5.201477687856577159e-01,4.595453779343368628e-01,5.147448905872692437e-01,8.001620753903438965e-01,8.096934247145001207e-01,5.050227878322052777e-02,7.153870340470664946e-01,8.244176875467799093e-01,1.758258771113492269e-01
5.400947285072006387e-01,5.147560114824193400e-01,4.822050307745295861e-01,8.826011236349496913e-01,5.205613402023177017e-01,4.583230956475569662e-01,5.150896348619792287e-01,8.001620753903438965e-01,8.096934293198405630e-01,5.050227878322052083e-02,7.188919461723692894e-01,8.161890986992785813e-01,1.717455883784885229e-01
